<Sum> [stat]player_ammo_restored  = 16444
<Sum> [class]Rifleman [item_type]claymoreexplosive05 [stat]player_wpn_usage  = 145
<Sum> [class]Engineer [item_type]smg50_swarm03_shop [stat]player_wpn_usage  = 4875
<Sum> [class]Rifleman [item_type]pt21_shop [stat]player_wpn_usage  = 229
<Sum> [class]Engineer [item_type]smg49_joker02_shop [stat]player_wpn_usage  = 5019
<Sum> [class]Medic [item_type]pt38_swarm02_shop [stat]player_wpn_usage  = 31656
<Sum> [class]Engineer [item_type]ar34_mars02_shop [stat]player_wpn_usage  = 4153
<Sum> [class]Engineer [item_type]ar34_mars01_shop [stat]player_wpn_usage  = 849
<Sum> [class]Engineer [item_type]smg49_shop [stat]player_wpn_usage  = 14047
<Sum> [class]Engineer [item_type]smg51_shop [stat]player_wpn_usage  = 13821
<Sum> [class]Recon [item_type]sr32_shop [stat]player_wpn_usage  = 9046
<Sum> [class]Engineer [item_type]smg48_shop [stat]player_wpn_usage  = 29284
<Sum> [class]Heavy [item_type]arl01 [stat]player_wpn_usage  = 22
<Sum> [class]Engineer [item_type]smg52_swarm03_shop [stat]player_wpn_usage  = 19870
<Sum> [class]Rifleman [item_type]ar36_swarm03_shop [stat]player_wpn_usage  = 63847
<Sum> [class]Medic [item_type]shg55_swarm03_shop [stat]player_wpn_usage  = 36348
<Sum> [class]Medic [item_type]explosivegrenade_xmas_c [stat]player_wpn_usage  = 2867
<Sum> [class]Medic [item_type]pt38_shop [stat]player_wpn_usage  = 14294
<Sum> [class]Recon [item_type]pt38_shop [stat]player_wpn_usage  = 2057
<Sum> [class]Recon [item_type]sr44_swarm02_shop [stat]player_wpn_usage  = 15394
<Sum> [class]Rifleman [item_type]pt38_shop [stat]player_wpn_usage  = 977
<Sum> [class]Rifleman [item_type]kn18_xmas04 [stat]player_wpn_usage  = 282
<Sum> [class]Rifleman [item_type]kn17_ec02 [stat]player_wpn_usage  = 253
<Sum> [class]Engineer [item_type]kn17_ec02 [stat]player_wpn_usage  = 509
<Sum> [class]Medic [item_type]kn17_ec02 [stat]player_wpn_usage  = 30036
<Sum> [class]Medic [item_type]ar23_shop [stat]player_wpn_usage  = 268
<Sum> [class]Engineer [item_type]kn41_ww2 [stat]player_wpn_usage  = 36
<Sum> [class]Medic [item_type]kn06 [stat]player_wpn_usage  = 3137
<Sum> [class]Recon [item_type]kn06 [stat]player_wpn_usage  = 2679
<Sum> [class]Engineer [item_type]shg37_shop [stat]player_wpn_usage  = 107
<Sum> [class]Medic [item_type]shg44_shop [stat]player_wpn_usage  = 3161009
<Sum> [class]Medic [item_type]pt33_shop [stat]player_wpn_usage  = 537348
<Sum> [class]Medic [item_type]shg10_camo02_shop [stat]player_wpn_usage  = 15239
<Sum> [class]Recon [item_type]sr12_clr01_zsd03_shop [stat]player_wpn_usage  = 4337
<Sum> [class]Engineer [item_type]pt33_shop [stat]player_wpn_usage  = 47209
<Sum> [class]Medic [item_type]shg37_zsd02_shop [stat]player_wpn_usage  = 6516
<Sum> [class]Rifleman [item_type]ar11_zsd02_shop [stat]player_wpn_usage  = 587
<Sum> [class]Recon [item_type]sr34_zsd02_shop [stat]player_wpn_usage  = 6664
<Sum> [class]Recon [item_type]pt26_shop [stat]player_wpn_usage  = 2952
<Sum> [class]Engineer [item_type]kn13_zsd01 [stat]player_wpn_usage  = 242
<Sum> [class]Recon [item_type]sr31_shop [stat]player_wpn_usage  = 2210540
<Sum> [class]Recon [item_type]smokegrenade04_c [stat]player_wpn_usage  = 3713
<Sum> [class]Recon [item_type]kn13_zsd01 [stat]player_wpn_usage  = 652
<Sum> [class]Medic [item_type]shg28_shop [stat]player_wpn_usage  = 20381
<Sum> [class]Medic [item_type]pt41_ww2_shop [stat]player_wpn_usage  = 2855
<Sum> [class]Engineer [item_type]smg31_lava01_shop [stat]player_wpn_usage  = 4465
<Sum> [class]Engineer [item_type]shg42_shop [stat]player_wpn_usage  = 211
<Sum> [class]Recon [item_type]sr31_lava01_shop [stat]player_wpn_usage  = 24744
<Sum> [class]Recon [item_type]flashbang [stat]player_wpn_usage  = 21679
<Sum> [class]Engineer [item_type]smg35_shop [stat]player_wpn_usage  = 53405
<Sum> [class]Engineer [item_type]ar20_shop [stat]player_wpn_usage  = 662
<Sum> [class]Medic [item_type]pt26_set02_shop [stat]player_wpn_usage  = 9679
<Sum> [class]Rifleman [item_type]ap03 [stat]player_wpn_usage  = 11118
<Sum> [class]Medic [item_type]pt26_shop [stat]player_wpn_usage  = 25840
<Sum> [class]Rifleman [item_type]ar25_gold01_shop [stat]player_wpn_usage  = 274
<Sum> [class]Recon [item_type]pt01_default [stat]player_wpn_usage  = 1137
<Sum> [class]Rifleman [item_type]ar25_shop [stat]player_wpn_usage  = 1221617
<Sum> [class]Rifleman [item_type]kn07_lava01 [stat]player_wpn_usage  = 217
<Sum> [class]Rifleman [item_type]kn06 [stat]player_wpn_usage  = 3213
<Sum> [class]Rifleman [item_type]mg23_shop [stat]player_wpn_usage  = 5456
<Sum> [class]Rifleman [item_type]pt41_ww2_shop [stat]player_wpn_usage  = 620
<Sum> [class]Medic [item_type]ar12_shop [stat]player_wpn_usage  = 1181
<Sum> [class]Medic [item_type]pt03_shop [stat]player_wpn_usage  = 53669
<Sum> [class]Medic [item_type]kn13_zsd01 [stat]player_wpn_usage  = 305
<Sum> [class]Recon [item_type]ar04_default [stat]player_wpn_usage  = 59
<Sum> [class]Engineer [item_type]ar25 [stat]player_wpn_usage  = 607
<Sum> [class]Rifleman [item_type]kn17 [stat]player_wpn_usage  = 1118
<Sum> [class]Engineer [item_type]smg07 [stat]player_wpn_usage  = 1560
<Sum> [class]Engineer [item_type]ar09 [stat]player_wpn_usage  = 14
<Sum> [class]Engineer [item_type]smg17 [stat]player_wpn_usage  = 258
<Sum> [class]Rifleman [item_type]smokegrenade02_c [stat]player_wpn_usage  = 126
<Sum> [class]Engineer [item_type]smg16 [stat]player_wpn_usage  = 1343
<Sum> [class]Engineer [item_type]smg09 [stat]player_wpn_usage  = 684
<Sum> [class]Engineer [item_type]shg11 [stat]player_wpn_usage  = 36
<Sum> [class]Engineer [item_type]sr31 [stat]player_wpn_usage  = 289
<Sum> [class]Recon [item_type]shg44_shop [stat]player_wpn_usage  = 98
<Sum> [class]Engineer [item_type]smg37_shop [stat]player_wpn_usage  = 4739
<Sum> [class]Engineer [item_type]smg24_shop [stat]player_wpn_usage  = 5892
<Sum> [class]Rifleman [item_type]pt66_shop [stat]player_wpn_usage  = 313
<Sum> [class]Recon [item_type]sr13_crown02_shop [stat]player_wpn_usage  = 18185
<Sum> [class]Recon [item_type]rg01 [stat]player_wpn_usage  = 49802
<Sum> [class]Engineer [item_type]pt03_crown02_shop [stat]player_wpn_usage  = 2223
<Sum> [class]Recon [item_type]shg37_zsd02_shop [stat]player_wpn_usage  = 260
<Sum> [class]Engineer [item_type]ar11 [stat]player_wpn_usage  = 370
<Sum> [class]Engineer [item_type]ar17 [stat]player_wpn_usage  = 478
<Sum> [class]Medic [item_type]kn16_zsd02 [stat]player_wpn_usage  = 867
<Sum> [class]Recon [item_type]kn16_zsd02 [stat]player_wpn_usage  = 4982
<Sum> [class]Rifleman [item_type]kn16_zsd02 [stat]player_wpn_usage  = 94
<Sum> [class]Recon [item_type]shg40_shop [stat]player_wpn_usage  = 723
<Sum> [class]Engineer [item_type]kn16_zsd02 [stat]player_wpn_usage  = 44
<Sum> [class]Recon [item_type]smokegrenade02_c [stat]player_wpn_usage  = 1515
<Sum> [class]Medic [item_type]pt14_shop [stat]player_wpn_usage  = 666114
<Sum> [class]Engineer [item_type]ar02 [stat]player_wpn_usage  = 560
<Sum> [class]Engineer [item_type]smokegrenade02_c [stat]player_wpn_usage  = 2816
<Sum> [class]Rifleman [item_type]ar15_shop [stat]player_wpn_usage  = 8347
<Sum> [class]Recon [item_type]ar25_shop [stat]player_wpn_usage  = 365
<Sum> [class]Recon [item_type]ar12_ice01_shop [stat]player_wpn_usage  = 156
<Sum> [class]Engineer [item_type]smg04 [stat]player_wpn_usage  = 350
<Sum> [class]Engineer [item_type]shg01 [stat]player_wpn_usage  = 500
<Sum> [class]Engineer [item_type]smg40_shop [stat]player_wpn_usage  = 2581255
<Sum> [class]Medic [item_type]shg40_crown02_shop [stat]player_wpn_usage  = 27222
<Sum> [class]Engineer [item_type]pt14_shop [stat]player_wpn_usage  = 229887
<Sum> [class]Medic [item_type]rg01 [stat]player_wpn_usage  = 22140
<Sum> [class]Medic [item_type]df02 [stat]player_wpn_usage  = 383258
<Sum> [class]Medic [item_type]mk03 [stat]player_wpn_usage  = 268654
<Sum> [class]Engineer [item_type]smg01_shop [stat]player_wpn_usage  = 6692
<Sum> [class]Engineer [item_type]ar23_shop [stat]player_wpn_usage  = 222
<Sum> [class]Engineer [item_type]ar02_shop [stat]player_wpn_usage  = 32
<Sum> [class]Engineer [item_type]smg07_hlw01_shop [stat]player_wpn_usage  = 2592
<Sum> [class]Engineer [item_type]smokegrenade [stat]player_wpn_usage  = 33057
<Sum> [class]Engineer [item_type]smg05_shop [stat]player_wpn_usage  = 8929
<Sum> [class]Engineer [item_type]ar26_shop [stat]player_wpn_usage  = 19
<Sum> [class]Engineer [item_type]smg03_default [stat]player_wpn_usage  = 46699
<Sum> [class]Engineer [item_type]pt32_shop [stat]player_wpn_usage  = 322885
<Sum> [class]Rifleman [item_type]flashbang [stat]player_wpn_usage  = 9612
<Sum> [class]Rifleman [item_type]smokegrenade04_c [stat]player_wpn_usage  = 2955
<Sum> [class]Engineer [item_type]sr39_shop [stat]player_wpn_usage  = 79
<Sum> [class]Rifleman [item_type]pt32_shop [stat]player_wpn_usage  = 30950
<Sum> [class]Rifleman [item_type]ar26_shop [stat]player_wpn_usage  = 194762
<Sum> [class]Engineer [item_type]shg37_ice01_shop [stat]player_wpn_usage  = 685
<Sum> [class]Engineer [item_type]sr34_shop [stat]player_wpn_usage  = 118
<Sum> [class]Rifleman [item_type]ar04_default [stat]player_wpn_usage  = 75167
<Sum> [class]Engineer [item_type]kn06 [stat]player_wpn_usage  = 122148
<Sum> [class]Engineer [item_type]shg08_crown02_shop [stat]player_wpn_usage  = 138
<Sum> [class]Engineer [item_type]sr09_shop [stat]player_wpn_usage  = 328
<Sum> [class]Engineer [item_type]kn10 [stat]player_wpn_usage  = 105338
<Sum> [class]Engineer [item_type]smg16_shop [stat]player_wpn_usage  = 9813
<Sum> [class]Recon [item_type]sr08_shop [stat]player_wpn_usage  = 46187
<Sum> [class]Recon [item_type]explosivegrenade [stat]player_wpn_usage  = 220650
<Sum> [class]Recon [item_type]pt66_shop [stat]player_wpn_usage  = 2739
<Sum> [class]Engineer [item_type]sr31_gold01_shop [stat]player_wpn_usage  = 1488
<Sum> [class]Engineer [item_type]sr31_shop [stat]player_wpn_usage  = 626
<Sum> [class]Engineer [item_type]sr37_shop [stat]player_wpn_usage  = 210
<Sum> [class]Engineer [item_type]pt21_zsd02_shop [stat]player_wpn_usage  = 8619
<Sum> [class]Engineer [item_type]shg07_gold01_shop [stat]player_wpn_usage  = 67
<Sum> [class]Rifleman [item_type]pt26_shop [stat]player_wpn_usage  = 654
<Sum> [class]Engineer [item_type]sr08_shop [stat]player_wpn_usage  = 134
<Sum> [class]Engineer [item_type]smg30_shop [stat]player_wpn_usage  = 20773
<Sum> [class]Rifleman [item_type]ar23_shop [stat]player_wpn_usage  = 199563
<Sum> [class]Engineer [item_type]smg36_shop [stat]player_wpn_usage  = 940751
<Sum> [class]Engineer [item_type]ar08_shop [stat]player_wpn_usage  = 137
<Sum> [class]Recon [item_type]sr08_camo02_shop [stat]player_wpn_usage  = 7660
<Sum> [class]Recon [item_type]sr34_shop [stat]player_wpn_usage  = 1706065
<Sum> [class]Recon [item_type]pt32_shop [stat]player_wpn_usage  = 156494
<Sum> [class]Recon [item_type]kn01 [stat]player_wpn_usage  = 2531
<Sum> [class]Medic [item_type]pt01_default [stat]player_wpn_usage  = 7949
<Sum> [class]Rifleman [item_type]pt26_set02_shop [stat]player_wpn_usage  = 3114
<Sum> [class]Rifleman [item_type]pt03_shop [stat]player_wpn_usage  = 8531
<Sum> [class]Medic [item_type]ar25_shop [stat]player_wpn_usage  = 194
<Sum> [class]Recon [item_type]sr14_gold01_shop [stat]player_wpn_usage  = 151042
<Sum> [class]Recon [item_type]smokegrenade [stat]player_wpn_usage  = 797
<Sum> [class]Engineer [item_type]ar12_shop [stat]player_wpn_usage  = 51
<Sum> [class]Rifleman [item_type]mg06_hlw01_shop [stat]player_wpn_usage  = 2964
<Sum> [class]Recon [item_type]pt26_set02_shop [stat]player_wpn_usage  = 8986
<Sum> [class]Engineer [item_type]smokegrenade_bra01 [stat]player_wpn_usage  = 1759
<Sum> [class]Engineer [item_type]shg43_shop [stat]player_wpn_usage  = 112
<Sum> [class]Medic [item_type]flashbang [stat]player_wpn_usage  = 100581
<Sum> [class]Medic [item_type]explosivegrenade02_c [stat]player_wpn_usage  = 22909
<Sum> [class]Medic [item_type]smokegrenade04_c [stat]player_wpn_usage  = 19684
<Sum> [class]Recon [item_type]explosivegrenade02_c [stat]player_wpn_usage  = 22214
<Sum> [class]Recon [item_type]claymoreexplosive04_c [stat]player_wpn_usage  = 28672
<Sum> [class]Engineer [item_type]smg18_shop [stat]player_wpn_usage  = 14311
<Sum> [class]Medic [item_type]shg08_lava01_shop [stat]player_wpn_usage  = 21180
<Sum> [class]Rifleman [item_type]mg05_shop [stat]player_wpn_usage  = 8667
<Sum> [class]Rifleman [item_type]shg35_shop [stat]player_wpn_usage  = 85
<Sum> [class]Engineer [item_type]smg11_camo02_shop [stat]player_wpn_usage  = 20275
<Sum> [class]Recon [item_type]sr12_clr01_shop [stat]player_wpn_usage  = 18172
<Sum> [class]Engineer [item_type]smg13_set02_shop [stat]player_wpn_usage  = 13570
<Sum> [class]Engineer [item_type]rg01 [stat]player_wpn_usage  = 19038
<Sum> [class]Engineer [item_type]ar25_shop [stat]player_wpn_usage  = 115
<Sum> [class]Recon [item_type]sr17_shop [stat]player_wpn_usage  = 10193
<Sum> [class]Recon [item_type]sr03_shop [stat]player_wpn_usage  = 37534
<Sum> [class]Medic [item_type]shg41_shop [stat]player_wpn_usage  = 54765
<Sum> [class]Medic [item_type]smokegrenade [stat]player_wpn_usage  = 24744
<Sum> [class]Medic [item_type]pt32_shop [stat]player_wpn_usage  = 41620
<Sum> [class]Medic [item_type]shg43_shop [stat]player_wpn_usage  = 240481
<Sum> [class]Rifleman [item_type]rg01 [stat]player_wpn_usage  = 23923
<Sum> [class]Engineer [item_type]smg25_lava01_shop [stat]player_wpn_usage  = 10038
<Sum> [class]Rifleman [item_type]smokegrenade [stat]player_wpn_usage  = 1049
<Sum> [class]Rifleman [item_type]sr31_shop [stat]player_wpn_usage  = 237
<Sum> [class]Rifleman [item_type]shg41_shop [stat]player_wpn_usage  = 128
<Sum> [class]Rifleman [item_type]ar10_set02_shop [stat]player_wpn_usage  = 8593
<Sum> [class]Recon [item_type]sr33_rad01_shop [stat]player_wpn_usage  = 1452932
<Sum> [class]Recon [item_type]arl02 [stat]player_wpn_usage  = 4985
<Sum> [class]Recon [item_type]arl01 [stat]player_wpn_usage  = 11956
<Sum> [class]Engineer [item_type]smg09_shop [stat]player_wpn_usage  = 20929
<Sum> [class]Recon [item_type]sr07_shop [stat]player_wpn_usage  = 386986
<Sum> [class]Medic [item_type]ar27_rad01_shop [stat]player_wpn_usage  = 736
<Sum> [class]Engineer [item_type]smokegrenade14_c [stat]player_wpn_usage  = 46
<Sum> [class]Medic [item_type]smg13_shop [stat]player_wpn_usage  = 87
<Sum> [class]Medic [item_type]explosivegrenade06_xmas [stat]player_wpn_usage  = 1818
<Sum> [class]Rifleman [item_type]pt34_shop [stat]player_wpn_usage  = 306
<Sum> [class]Recon [item_type]sr44_shop [stat]player_wpn_usage  = 177398
<Sum> [class]Recon [item_type]smg33_shop [stat]player_wpn_usage  = 281
<Sum> [class]Medic [item_type]ar26_shop [stat]player_wpn_usage  = 132
<Sum> [class]Medic [item_type]shg37_ec01_shop [stat]player_wpn_usage  = 88
<Sum> [class]Medic [item_type]ar04_default [stat]player_wpn_usage  = 187
<Sum> [class]Medic [item_type]smg33_shop [stat]player_wpn_usage  = 101
<Sum> [class]Recon [item_type]shg39_shop [stat]player_wpn_usage  = 108
<Sum> [class]Medic [item_type]ar28_shop [stat]player_wpn_usage  = 280
<Sum> [class]Engineer [item_type]smg10_crown_shop [stat]player_wpn_usage  = 14044
<Sum> [class]Engineer [item_type]smg42_shop [stat]player_wpn_usage  = 275984
<Sum> [class]Recon [item_type]ar24_shop [stat]player_wpn_usage  = 116
<Sum> [class]Engineer [item_type]smg36_gold01_shop [stat]player_wpn_usage  = 10117
<Sum> [class]Rifleman [item_type]pt21_lava01_shop [stat]player_wpn_usage  = 811
<Sum> [class]Recon [item_type]pt01_gold01_shop [stat]player_wpn_usage  = 1090
<Sum> [class]Engineer [item_type]pt01_default [stat]player_wpn_usage  = 1608
<Sum> [class]Rifleman [item_type]ar02_shop [stat]player_wpn_usage  = 4840
<Sum> [class]Medic [item_type]shg08_shop [stat]player_wpn_usage  = 86071
<Sum> [class]Engineer [item_type]pt29_fld01_shop [stat]player_wpn_usage  = 16431
<Sum> [class]Engineer [item_type]kn44_fld01 [stat]player_wpn_usage  = 2148
<Sum> [class]Engineer [item_type]smg31_shop [stat]player_wpn_usage  = 1086578
<Sum> [class]Medic [item_type]shg45_shop [stat]player_wpn_usage  = 1804531
<Sum> [class]Engineer [item_type]smg25_shop [stat]player_wpn_usage  = 73136
<Sum> [class]Rifleman [item_type]ar02_camo02_shop [stat]player_wpn_usage  = 4920
<Sum> [class]Medic [item_type]pt23_shop [stat]player_wpn_usage  = 4615
<Sum> [class]Medic [item_type]kn13_rad01 [stat]player_wpn_usage  = 367
<Sum> [class]Recon [item_type]sr09_shop [stat]player_wpn_usage  = 65009
<Sum> [class]Recon [item_type]shg42_shop [stat]player_wpn_usage  = 484
<Sum> [class]Rifleman [item_type]mg09_shop [stat]player_wpn_usage  = 3518
<Sum> [class]Medic [item_type]ar27_shop [stat]player_wpn_usage  = 500
<Sum> [class]Recon [item_type]ar27_rad01_shop [stat]player_wpn_usage  = 78
<Sum> [class]Medic [item_type]shg07_shop [stat]player_wpn_usage  = 62102
<Sum> [class]Recon [item_type]sr20_shop [stat]player_wpn_usage  = 2503
<Sum> [class]Recon [item_type]pt21_crown02_shop [stat]player_wpn_usage  = 7593
<Sum> [class]Engineer [item_type]smg33_shop [stat]player_wpn_usage  = 850598
<Sum> [class]Recon [item_type]sr08_set02_shop [stat]player_wpn_usage  = 24260
<Sum> [class]Rifleman [item_type]explosivegrenade_zong [stat]player_wpn_usage  = 226
<Sum> [class]Rifleman [item_type]smokegrenade_bra01 [stat]player_wpn_usage  = 120
<Sum> [class]Medic [item_type]pt31_shop [stat]player_wpn_usage  = 8839
<Sum> [class]Engineer [item_type]pt31_shop [stat]player_wpn_usage  = 737
<Sum> [class]Engineer [item_type]pt35_shop [stat]player_wpn_usage  = 62194
<Sum> [class]Rifleman [item_type]ar22_gold01_shop [stat]player_wpn_usage  = 38075
<Sum> [class]Engineer [item_type]explosivegrenade_zong [stat]player_wpn_usage  = 281
<Sum> [class]Rifleman [item_type]pt30_pink01_shop [stat]player_wpn_usage  = 1599
<Sum> [class]Engineer [item_type]explosivegrenade06_xmas [stat]player_wpn_usage  = 636
<Sum> [class]Engineer [item_type]kn03 [stat]player_wpn_usage  = 950
<Sum> [class]Rifleman [item_type]pt35_shop [stat]player_wpn_usage  = 2636
<Sum> [class]Rifleman [item_type]kn03 [stat]player_wpn_usage  = 2023
<Sum> [class]Recon [item_type]pt35_shop [stat]player_wpn_usage  = 20924
<Sum> [class]Recon [item_type]explosivegrenade06_xmas [stat]player_wpn_usage  = 47
<Sum> [class]Engineer [item_type]ar12_crown02_shop [stat]player_wpn_usage  = 3
<Sum> [class]Medic [item_type]pt30_pink01_shop [stat]player_wpn_usage  = 24819
<Sum> [class]Recon [item_type]pt03_shop [stat]player_wpn_usage  = 3601
<Sum> [class]Recon [item_type]pt03_crown02_shop [stat]player_wpn_usage  = 424
<Sum> [class]Rifleman [item_type]ar24_shop [stat]player_wpn_usage  = 12369
<Sum> [class]Medic [item_type]smg25_shop [stat]player_wpn_usage  = 44
<Sum> [class]Engineer [item_type]ar27_rad01_shop [stat]player_wpn_usage  = 420
<Sum> [class]Recon [item_type]sr39_shop [stat]player_wpn_usage  = 10068
<Sum> [class]Recon [item_type]pt33_shop [stat]player_wpn_usage  = 11898
<Sum> [class]Engineer [item_type]smg12_crown_shop [stat]player_wpn_usage  = 10670
<Sum> [class]Recon [item_type]kn13 [stat]player_wpn_usage  = 959
<Sum> [class]Engineer [item_type]kn13 [stat]player_wpn_usage  = 1009
<Sum> [class]Recon [item_type]kn18 [stat]player_wpn_usage  = 3587
<Sum> [class]Medic [item_type]kn18 [stat]player_wpn_usage  = 5519
<Sum> [class]Rifleman [item_type]kn18 [stat]player_wpn_usage  = 3277
<Sum> [class]Medic [item_type]shg37_ice01_shop [stat]player_wpn_usage  = 558379
<Sum> [class]Engineer [item_type]explosivegrenade02_c [stat]player_wpn_usage  = 67366
<Sum> [class]Engineer [item_type]kn18 [stat]player_wpn_usage  = 17185
<Sum> [class]Medic [item_type]smg40_shop [stat]player_wpn_usage  = 72
<Sum> [class]Rifleman [item_type]mg08_shop [stat]player_wpn_usage  = 24972
<Sum> [class]Medic [item_type]shg39_shop [stat]player_wpn_usage  = 8345
<Sum> [class]Medic [item_type]explosivegrenade_zong [stat]player_wpn_usage  = 2613
<Sum> [class]Medic [item_type]smg32_shop [stat]player_wpn_usage  = 137
<Sum> [class]Medic [item_type]shg30_shop [stat]player_wpn_usage  = 4353
<Sum> [class]Recon [item_type]ar12_crown02_shop [stat]player_wpn_usage  = 591
<Sum> [class]Recon [item_type]sr43_shop [stat]player_wpn_usage  = 26906
<Sum> [class]Recon [item_type]kn10 [stat]player_wpn_usage  = 3644
<Sum> [class]Recon [item_type]shg38_shop [stat]player_wpn_usage  = 510
<Sum> [class]Recon [item_type]shg32_shop [stat]player_wpn_usage  = 222
<Sum> [class]Recon [item_type]shg40_crown02_shop [stat]player_wpn_usage  = 135
<Sum> [class]Medic [item_type]kn10 [stat]player_wpn_usage  = 25594
<Sum> [class]Rifleman [item_type]ar12_shop [stat]player_wpn_usage  = 789355
<Sum> [class]Engineer [item_type]smg32_shop [stat]player_wpn_usage  = 48407
<Sum> [class]Medic [item_type]shg32_lava01_shop [stat]player_wpn_usage  = 59254
<Sum> [class]Recon [item_type]sr35_shop [stat]player_wpn_usage  = 500
<Sum> [class]Recon [item_type]kn16 [stat]player_wpn_usage  = 177077
<Sum> [class]Engineer [item_type]smg33_rad01_shop [stat]player_wpn_usage  = 18443
<Sum> [class]Engineer [item_type]kn16 [stat]player_wpn_usage  = 78927
<Sum> [class]Medic [item_type]kn16 [stat]player_wpn_usage  = 83687
<Sum> [class]Medic [item_type]shg40_shop [stat]player_wpn_usage  = 216630
<Sum> [class]Engineer [item_type]kn16_rad01 [stat]player_wpn_usage  = 3623
<Sum> [class]Medic [item_type]smokegrenade02_c [stat]player_wpn_usage  = 2066
<Sum> [class]Recon [item_type]smg38_shop [stat]player_wpn_usage  = 435
<Sum> [class]Engineer [item_type]smg39_shop [stat]player_wpn_usage  = 31324
<Sum> [class]Recon [item_type]sr31_crown02_shop [stat]player_wpn_usage  = 192962
<Sum> [class]Medic [item_type]pt16_rad01_shop [stat]player_wpn_usage  = 23049
<Sum> [class]Recon [item_type]pt16_rad01_shop [stat]player_wpn_usage  = 11016
<Sum> [class]Rifleman [item_type]ar28_shop [stat]player_wpn_usage  = 179807
<Sum> [class]Recon [item_type]pt27_shop [stat]player_wpn_usage  = 4963
<Sum> [class]Engineer [item_type]smg35_xmas03_shop [stat]player_wpn_usage  = 47907
<Sum> [class]Recon [item_type]pt14_shop [stat]player_wpn_usage  = 230287
<Sum> [class]Recon [item_type]ar27_shop [stat]player_wpn_usage  = 1044
<Sum> [class]Recon [item_type]ar28_shop [stat]player_wpn_usage  = 474
<Sum> [class]Rifleman [item_type]ar12_crown02_shop [stat]player_wpn_usage  = 26613
<Sum> [class]Medic [item_type]smokegrenade03_c [stat]player_wpn_usage  = 20702
<Sum> [class]Recon [item_type]smokegrenade03_c [stat]player_wpn_usage  = 1180
<Sum> [class]Medic [item_type]shg11_xmas_shop [stat]player_wpn_usage  = 2960
<Sum> [class]Medic [item_type]shg44_gold01_shop [stat]player_wpn_usage  = 191
<Sum> [class]Medic [item_type]shg42_rad01_shop [stat]player_wpn_usage  = 18017
<Sum> [class]Medic [item_type]shg22_shop [stat]player_wpn_usage  = 10288
<Sum> [class]Medic [item_type]shg42_shop [stat]player_wpn_usage  = 2318344
<Sum> [class]Recon [item_type]kn03_xmas [stat]player_wpn_usage  = 665
<Sum> [class]Rifleman [item_type]pt14_shop [stat]player_wpn_usage  = 36593
<Sum> [class]Rifleman [item_type]kn16 [stat]player_wpn_usage  = 14739
<Sum> [class]Medic [item_type]sr31_crown02_shop [stat]player_wpn_usage  = 929
<Sum> [class]Medic [item_type]ar24_xmas03_shop [stat]player_wpn_usage  = 325
<Sum> [class]Rifleman [item_type]ar30_shop [stat]player_wpn_usage  = 88508
<Sum> [class]Rifleman [item_type]arl01 [stat]player_wpn_usage  = 5276
<Sum> [class]Rifleman [item_type]pt16_rad01_shop [stat]player_wpn_usage  = 3482
<Sum> [class]Rifleman [item_type]ar11_shop [stat]player_wpn_usage  = 96398
<Sum> [class]Engineer [item_type]pt14_gold01_shop [stat]player_wpn_usage  = 35098
<Sum> [class]Rifleman [item_type]pt14_gold01_shop [stat]player_wpn_usage  = 639
<Sum> [class]Medic [item_type]pt14_gold01_shop [stat]player_wpn_usage  = 3116
<Sum> [class]Engineer [item_type]smg10_shop [stat]player_wpn_usage  = 646548
<Sum> [class]Recon [item_type]pt14_gold01_shop [stat]player_wpn_usage  = 3219
<Sum> [class]Rifleman [item_type]shg40_crown02_shop [stat]player_wpn_usage  = 45
<Sum> [class]Medic [item_type]shg32_shop [stat]player_wpn_usage  = 82693
<Sum> [class]Recon [item_type]smg40_shop [stat]player_wpn_usage  = 0
<Sum> [class]Rifleman [item_type]ar16_shop [stat]player_wpn_usage  = 56432
<Sum> [class]Rifleman [item_type]explosivegrenade06_xmas [stat]player_wpn_usage  = 603
<Sum> [class]Engineer [item_type]smg25_crown02_shop [stat]player_wpn_usage  = 26211
<Sum> [class]Recon [item_type]sr02_default [stat]player_wpn_usage  = 610
<Sum> [class]Rifleman [item_type]kn10 [stat]player_wpn_usage  = 1875
<Sum> [class]Engineer [item_type]pt16_rad01_shop [stat]player_wpn_usage  = 4511
<Sum> [class]Medic [item_type]shg36_shop [stat]player_wpn_usage  = 3384
<Sum> [class]Medic [item_type]kn13 [stat]player_wpn_usage  = 6412
<Sum> [class]Medic [item_type]sr37_shop [stat]player_wpn_usage  = 102
<Sum> [class]Rifleman [item_type]ar16_lava01_shop [stat]player_wpn_usage  = 135892
<Sum> [class]Recon [item_type]sr09_lava01_shop [stat]player_wpn_usage  = 741578
<Sum> [class]Recon [item_type]shg05_shop [stat]player_wpn_usage  = 59
<Sum> [class]Medic [item_type]arl02 [stat]player_wpn_usage  = 13239
<Sum> [class]Medic [item_type]pt16_shop [stat]player_wpn_usage  = 4179
<Sum> [class]Rifleman [item_type]ar27_shop [stat]player_wpn_usage  = 45202
<Sum> [class]Medic [item_type]pt27_shop [stat]player_wpn_usage  = 12909
<Sum> [class]Medic [item_type]smokegrenade_bra01 [stat]player_wpn_usage  = 137
<Sum> [class]Rifleman [item_type]arl02 [stat]player_wpn_usage  = 2003
